Character,IMG
Acheron,/static/dfb18cf34a31662aa1393c25266ed749/e9a79/47_sm.png
Argenti,/static/6f3ad2228d4d02953475c5452230ef63/e9a79/45_sm.png
Arlan,/static/be47706d98abd13b49d629e53540c269/e9a79/9_sm.png
Asta,/static/cae9b5e5ada7da3d4432d0e1d01dbf4d/e9a79/10_sm.png
Aventurine,/static/dcca4d5456bea16990c25fe298a80e41/e9a79/50_sm.png
Bailu,/static/d7966d5a139339f40b379cffd4d13cf8/e9a79/24_sm.png
Black Swan,/static/f3045047e4708b372aff23fe67fe63d7/e9a79/46_sm.png
Blade,/static/f2663c739baa73864052b7c8daff327b/e9a79/28_sm.png
Boothill,/static/b57af11d0edb3f76d9e130bb9611c63b/60b4d/53_sm.webp
Bronya,/static/3c0e87556bcf541135c909a18f87ec6a/e9a79/12_sm.png
Clara,/static/a3d2d3e7db3d202b575b6fa1d95baf2c/e9a79/18_sm.png
Dan Heng,/static/857b2b1906680674db70981176f31474/e9a79/4_sm.png
Dr. Ratio,/static/26f302952d6728c2b270c9160566e614/e9a79/44_sm.png
Fu Xuan,/static/e454e011effe543ecd5f2706541c8cbb/e9a79/29_sm.png
Gallagher,/static/014e5fd9e1557e4dbef87ae673e12116/60b4d/51_sm.webp
Gepard,/static/cff01461a4e4266e9b213e4d73c6c5c3/e9a79/15_sm.png
Guinaifen,/static/07509883d6b64f8a05a31f0b27f5367e/e9a79/39_sm.png
Hanya,/static/a4e55e309e35bc1f4d5ed3808c8dcf51/e9a79/42_sm.png
Herta,/static/183866486154f984ec92b8eedf87d7c6/e9a79/11_sm.png
Himeko,/static/f321ebceb88e9b1f2f0cff4861aca551/e9a79/5_sm.png
Hook,/static/fb5d610b2d0eb7b35b461f4ae5166bca/e9a79/20_sm.png
Huohuo,/static/35eddc3b09b3d2c610af2013992e732f/e9a79/40.png
Dan Heng • Imbibitor Lunae,/static/4604f205c9f9e6cf4a1d8b90943b8ed6/e9a79/34_sm.png
Jing Yuan,/static/23b51180bbbc53d0cebbbc3e192468b6/e9a79/22_sm.png
Jingliu,/static/90e9d33472fcc0b7fbd1251cd0beb6e5/e9a79/35_sm.png
Kafka,/static/5eaaf9ec3518805762b5f5a69091d86c/e9a79/7_sm.png
Luka,/static/ce5be2a99d02f129514fd55e5db8f1a7/e9a79/33_sm.png
Luocha,/static/3db1e95f0be0c78a233f851614ff4620/e9a79/21_sm.png
Lynx,/static/033124afa0122cd8b0ae20b533140ec5/e9a79/35_sm.png
March 7th,/static/63e84a0b75c737e0499f63f57b48c4d9/e9a79/3_sm.png
Misha,/static/1c101774bd4bc4d684a0c206a9705a31/e9a79/48_sm.png
Natasha,/static/9dcedbe8b82ddc53e6392b76750a2225/e9a79/16_sm.png
Pela,/static/b8f7e6d5e067908eea06f4286a3381fa/e9a79/17_sm.png
Qingque,/static/0434369b1146936d32c51d5f265d17dc/e9a79/26_sm.png
Robin,/static/887bd7ed4c8537a52cd285d35931ab4d/60b4d/52_sm.webp
Ruan Mei,/static/ab077ecba896b3a6d406c1c170a7a471/e9a79/43_sm.png
Sampo,/static/0b758a75ced25955b92c9f055b71c87f/e9a79/19_sm.png
Seele,/static/7bf27624888af02b16ed1ad2fdec10f2/e9a79/13_sm.png
Serval,/static/a0516274fafc8275ef10cbf994bf7508/e9a79/14_sm.png
Silver Wolf,/static/46b350599121f6a83272a0635061d071/e9a79/8_sm.png
Sparkle,/static/c52297074e0c2fff0184fe534ac31617/e9a79/47_sm.png
Sushang,/static/fb77ae92a3803222046cc60021e7c62d/e9a79/27_sm.png
Tingyun,/static/03bcec36a01c78f33767b7098f6fa1f0/e9a79/25_sm.png
Topaz & Numby,/static/0ab4d7f7d2a2e2afc7c5979531904fe1/e9a79/38_sm.png
Trailblazer (Fire),/static/07525d7cc303828938376541b58c95e2/60b4d/fire_mc_icon.webp
Trailblazer (Imaginary),/static/286541431fc0e4242b16eb307e2a71b0/60b4d/img_mc_icon.webp
Trailblazer (Physical),/static/0fe244adf41a88f67ba67ef2058d7ee1/60b4d/phys_mc_icon.webp
Welt,/static/b24ce106a4a283e6cf1a077413fbf9d0/e9a79/6_sm.png
Xueyi,/static/255178791ab42f44cb633b15df66c30f/e9a79/45_sm.png
Yanqing,/static/15b2a8be678745987353625378ee8dba/e9a79/23_sm.png
Yukong,/static/f64318898539865f4a119bb65074bf3d/e9a79/32_sm.png
