Character,URL
Acheron,/star-rail/characters/acheron
Argenti,/star-rail/characters/argenti
Arlan,/star-rail/characters/arlan
Asta,/star-rail/characters/asta
Aventurine,/star-rail/characters/aventurine
Bailu,/star-rail/characters/bailu
Black Swan,/star-rail/characters/black-swan
Blade,/star-rail/characters/blade
Bronya,/star-rail/characters/bronya
Clara,/star-rail/characters/clara
Dan Heng,/star-rail/characters/dan-heng
Dr. Ratio,/star-rail/characters/dr-ratio
Fu Xuan,/star-rail/characters/fu-xuan
Gallagher,/star-rail/characters/gallagher
Gepard,/star-rail/characters/gepard
Guinaifen,/star-rail/characters/guinaifen
Hanya,/star-rail/characters/hanya
Herta,/star-rail/characters/herta
Himeko,/star-rail/characters/himeko
Hook,/star-rail/characters/hook
Huohuo,/star-rail/characters/huohuo
Dan Heng • Imbibitor Lunae,/star-rail/characters/imbibitor-lunae
Jing Yuan,/star-rail/characters/jing-yuan
Jingliu,/star-rail/characters/jingliu
Kafka,/star-rail/characters/kafka
Luka,/star-rail/characters/luka
Luocha,/star-rail/characters/luocha
Lynx,/star-rail/characters/lynx
March 7th,/star-rail/characters/march-7th
Misha,/star-rail/characters/misha
Natasha,/star-rail/characters/natasha
Pela,/star-rail/characters/pela
Qingque,/star-rail/characters/qingque
Robin,/star-rail/characters/robin
Ruan Mei,/star-rail/characters/ruan-mei
Sampo,/star-rail/characters/sampo
Seele,/star-rail/characters/seele
Serval,/star-rail/characters/serval
Silver Wolf,/star-rail/characters/silver-wolf
Sparkle,/star-rail/characters/sparkle
Sushang,/star-rail/characters/sushang
Tingyun,/star-rail/characters/tingyun
Topaz & Numby,/star-rail/characters/topaz
Trailblazer (Fire),/star-rail/characters/trailblazer-fire
Trailblazer (Physical),/star-rail/characters/trailblazer-physical
Welt,/star-rail/characters/welt
Xueyi,/star-rail/characters/xueyi
Yanqing,/star-rail/characters/yanqing
Yukong,/star-rail/characters/yukong
